timestamp,kashef-k8s-ctl.geo-bd9dfdb45-75b5p,kashef-k8s-ctl.jaeger-5d885bcf88-vngjh,kashef-k8s-ctl.memcached-rate-bcc5c97f8-t6djc,kashef-k8s-ctl.memcached-reserve-bdcb467b4-chcjr,kashef-k8s-ctl.mongodb-recommendation-59d6b7ccf9-vb6wx,kashef-k8s-ctl.mongodb-reservation-7b474745f-hgddd,kashef-k8s-ctl.mongodb-user-6d96648ddc-x7shm,kashef-k8s-ctl.profile-6c9f4cc75f-5mmfr,kashef-k8s-ctl.recommendation-6494d54897-pnnpx,kashef-k8s-ctl.reservation-7799998946-nw7sw,kashef-k8s-w1.consul-56f5cf4f78-mxdx8,kashef-k8s-w1.frontend-7d9d864798-qs66g,kashef-k8s-w1.memcached-profile-7d6fcb6b8-hbx2q,kashef-k8s-w1.mongodb-geo-86b59b75f4-kgphv,kashef-k8s-w1.mongodb-profile-6bb85f4df7-bzzs4,kashef-k8s-w1.mongodb-rate-785b799bbc-xcbgt,kashef-k8s-w1.rate-66d9d98f67-vmd5g,kashef-k8s-w1.search-8677798cf5-v45xp,kashef-k8s-w1.user-698454f8c4-ztvl4
1741604569,,0.23,,,,1.575,1.706,,,0.242,1.417,,0.128,,,,0.253,,
1741604575,,0.23,,0.131,,1.575,1.706,0.324,,0.242,1.417,0.417,0.128,1.752,1.723,1.697,0.253,,
1741604581,0.407,0.23,0.131,0.131,1.699,1.575,1.706,0.324,,0.242,1.417,0.417,0.128,1.752,1.723,1.697,0.253,0.278,0.362
1741604587,0.407,0.23,0.131,0.131,1.699,1.575,1.706,0.324,0.253,0.242,1.417,0.417,0.128,1.752,1.723,1.697,0.253,0.278,0.362
1741604593,0.407,0.23,0.131,0.131,1.699,1.575,1.706,0.324,0.253,0.242,1.417,0.417,0.128,1.752,1.723,1.697,0.253,0.278,0.362
1741604599,0.407,0.23,0.131,0.131,1.699,1.575,1.706,0.324,0.253,0.242,1.417,0.417,0.128,1.752,1.723,1.697,0.253,0.278,0.362
1741604605,0.407,0.23,0.131,0.131,1.699,1.575,1.706,0.324,0.253,0.242,1.417,0.417,0.128,1.752,1.723,1.697,0.253,0.278,0.362
1741604611,0.407,0.23,0.131,0.131,1.699,1.575,1.706,0.324,0.253,0.242,1.417,0.417,0.128,1.752,1.723,1.697,0.253,0.278,0.362
1741604617,0.407,0.23,0.131,0.131,1.699,1.575,1.706,0.324,0.253,0.242,1.417,0.417,0.128,1.752,1.723,1.697,0.253,0.278,0.362
1741604623,0.407,0.23,0.131,0.131,1.699,1.575,1.706,0.324,0.253,0.242,1.417,0.417,0.128,1.752,1.723,1.697,0.253,0.278,0.362
1741604629,0.407,0.23,0.131,0.131,1.699,1.575,1.706,0.324,0.253,0.242,1.417,0.417,0.128,1.752,1.723,1.697,0.283,0.278,0.362
1741604635,0.407,0.23,0.131,0.149,2.027,1.992,1.706,0.324,0.253,0.242,2.799,0.438,0.128,1.752,2.154,2.112,0.283,0.297,0.395
1741604641,0.44,0.248,0.148,0.149,2.027,1.992,1.706,0.356,0.253,0.284,2.799,0.438,0.148,2.175,2.154,2.112,0.283,0.297,0.395
1741604647,0.44,0.248,0.148,0.149,2.027,1.992,2.209,0.356,0.284,0.284,2.799,0.438,0.148,2.175,2.154,2.112,0.283,0.297,0.395
1741604653,0.44,0.248,0.148,0.149,2.027,1.992,2.209,0.356,0.284,0.284,2.799,0.438,0.148,2.175,2.154,2.112,0.283,0.297,0.395
1741604659,0.44,0.248,0.148,0.149,2.027,1.992,2.209,0.356,0.284,0.284,2.799,0.438,0.148,2.175,2.154,2.112,0.283,0.297,0.395
