trace_id,latency,total_spans,contains_errors,error_rate,error_messages,operation,services,longest_span_service,longest_span_duration,mean_span_duration
3014bcdae3657795,5763,15,False,0.0,,HTTP GET /hotels,reservation; geo; rate; search; profile; frontend,frontend,1132,384.2
3a20ebd85213d076,4578,15,False,0.0,,HTTP GET /hotels,reservation; geo; rate; search; profile; frontend,frontend,1181,305.2
0bf49a620e01cc5b,5207,15,False,0.0,,HTTP GET /hotels,reservation; geo; rate; search; profile; frontend,frontend,1457,347.1333333333333
7ee69962426e1145,8301,15,False,0.0,,HTTP GET /hotels,reservation; geo; rate; search; profile; frontend,frontend,1764,553.4
6dd7078566f91461,8002,15,False,0.0,,HTTP GET /hotels,reservation; geo; rate; search; profile; frontend,frontend,1750,533.4666666666667
23dd3596a4f13230,6701,15,False,0.0,,HTTP GET /hotels,reservation; rate; geo; search; profile; frontend,frontend,1838,446.73333333333335
1a8adf011560469c,8544,15,False,0.0,,HTTP GET /hotels,reservation; geo; rate; search; profile; frontend,frontend,1797,569.6
706f7425f8e68242,6405,15,False,0.0,,HTTP GET /hotels,reservation; geo; rate; search; profile; frontend,frontend,1791,427.0
00c490645a9d9f48,6644,15,False,0.0,,HTTP GET /hotels,reservation; geo; rate; search; profile; frontend,frontend,1847,442.93333333333334
10059c0db51a7d2f,7774,15,False,0.0,,HTTP GET /hotels,reservation; geo; rate; search; profile; frontend,frontend,1598,518.2666666666667
290e1e966dadfb0d,6002,15,False,0.0,,HTTP GET /hotels,reservation; rate; geo; search; profile; frontend,frontend,1655,400.1333333333333
718b757c6c23fdf4,6571,15,False,0.0,,HTTP GET /hotels,reservation; geo; rate; search; profile; frontend,frontend,1615,438.06666666666666
1a36d94d035edad4,5994,15,False,0.0,,HTTP GET /hotels,reservation; geo; rate; search; profile; frontend,frontend,1181,399.6
63a8b00bcab5a0af,6299,15,False,0.0,,HTTP GET /hotels,reservation; geo; rate; search; profile; frontend,frontend,1516,419.93333333333334
7c823a2a83e6b1b3,7903,15,False,0.0,,HTTP GET /hotels,reservation; geo; rate; search; profile; frontend,frontend,1763,526.8666666666667
6bfb9c98a876ffca,5285,15,False,0.0,,HTTP GET /hotels,reservation; geo; rate; search; profile; frontend,frontend,1314,352.3333333333333
7a120c0e79fe19e1,6041,15,False,0.0,,HTTP GET /hotels,reservation; rate; geo; search; profile; frontend,frontend,1526,403.93333333333334
2ec5a57e28ef2151,23810,15,False,0.0,,HTTP GET /hotels,reservation; rate; geo; search; profile; frontend,reservation,16274,1587.3333333333333
55b984d11b87831f,8292,15,False,0.0,,HTTP GET /hotels,reservation; geo; rate; search; profile; frontend,frontend,1567,552.8
4d74373eda575bfa,5393,15,False,0.0,,HTTP GET /hotels,reservation; geo; rate; search; profile; frontend,frontend,1518,359.53333333333336
0b1691d8102bd2f3,6264,15,False,0.0,,HTTP GET /hotels,reservation; geo; rate; search; profile; frontend,frontend,1572,417.6
3b0aa673e965f249,82074,15,False,0.0,,HTTP GET /hotels,reservation; geo; rate; search; profile; frontend,frontend,77123,5471.6
1f452fff85743f30,7177,15,False,0.0,,HTTP GET /hotels,reservation; rate; geo; search; profile; frontend,frontend,1605,478.46666666666664
2717ce4cc4dcc7a6,5034,15,False,0.0,,HTTP GET /hotels,reservation; rate; geo; search; profile; frontend,frontend,1419,335.6
2526823cef033890,7247,15,False,0.0,,HTTP GET /hotels,reservation; rate; geo; search; profile; frontend,search,2537,483.1333333333333
4d95fe6576c9b150,6154,15,False,0.0,,HTTP GET /hotels,reservation; rate; geo; search; profile; frontend,frontend,1589,410.26666666666665
2d8f03a991a921f4,42808,15,False,0.0,,HTTP GET /hotels,reservation; rate; geo; search; profile; frontend,frontend,36775,2853.866666666667
3e0a7c48f4a58c16,6147,15,False,0.0,,HTTP GET /hotels,reservation; rate; geo; search; profile; frontend,frontend,1276,409.8
22c596a6761ecb7f,6450,15,False,0.0,,HTTP GET /hotels,reservation; rate; geo; search; profile; frontend,frontend,1454,430.0
7da6b9cc314f02d8,6617,15,False,0.0,,HTTP GET /hotels,reservation; geo; rate; search; profile; frontend,frontend,1764,441.1333333333333
6d0bc24f9f982ed2,74199,15,False,0.0,,HTTP GET /hotels,reservation; geo; rate; search; profile; frontend,reservation,66358,4946.6
